time,open,high,low,close,tick_volume,spread,real_volume,news_impact,news_event,news_currency,minutes_from_news,label
2025-06-24 20:15:00,1.16099,1.16131,1.16086,1.16117,238,9,0,Medium,CB Consumer Confidence,USD,45.0,1.0
2025-06-25 19:15:00,1.16628,1.16649,1.16607,1.16622,364,9,0,High,Fed Chair Powell Testifies,USD,-15.0,1.0
2025-06-25 19:30:00,1.16623,1.16636,1.16592,1.16615,345,9,0,High,Fed Chair Powell Testifies,USD,0.0,1.0
2025-06-25 19:45:00,1.16615,1.16629,1.1656,1.16581,382,9,0,High,Fed Chair Powell Testifies,USD,15.0,1.0
2025-06-26 17:30:00,1.17258,1.17288,1.17215,1.17273,581,9,0,High,Final GDP q/q,USD,-30.0,-1.0
2025-06-26 17:45:00,1.17272,1.17282,1.17232,1.17243,544,9,0,High,Final GDP q/q,USD,-15.0,-1.0
2025-06-26 18:00:00,1.17243,1.17268,1.1722,1.17263,570,9,0,High,Final GDP q/q,USD,0.0,-1.0
2025-06-26 19:15:00,1.17083,1.17102,1.1704,1.17074,482,9,0,Medium,Pending Home Sales m/m,USD,-15.0,-1.0
2025-06-26 19:30:00,1.17074,1.17109,1.17063,1.17108,398,9,0,Medium,Pending Home Sales m/m,USD,0.0,-1.0
2025-06-26 19:45:00,1.17108,1.17121,1.17036,1.17043,525,9,0,Medium,Pending Home Sales m/m,USD,15.0,-1.0
2025-06-26 23:30:00,1.1693,1.1697,1.16888,1.16958,530,9,0,Medium,ECB President Lagarde Speaks,EUR,-30.0,0.0
2025-06-26 23:45:00,1.1696,1.16977,1.16884,1.16924,551,9,0,Medium,ECB President Lagarde Speaks,EUR,-15.0,0.0
2025-06-27 00:00:00,1.16926,1.16975,1.16926,1.16961,714,9,0,Medium,ECB President Lagarde Speaks,EUR,0.0,0.0
2025-06-27 00:15:00,1.16962,1.16976,1.16903,1.16923,504,9,0,Medium,ECB President Lagarde Speaks,EUR,15.0,0.0
2025-06-27 00:30:00,1.16925,1.16939,1.16878,1.16937,513,9,0,Medium,ECB President Lagarde Speaks,EUR,30.0,1.0
2025-06-27 00:45:00,1.16938,1.16976,1.16907,1.16921,694,9,0,Medium,ECB President Lagarde Speaks,EUR,45.0,1.0
2025-06-27 01:00:00,1.16918,1.16956,1.16892,1.16893,611,9,0,Medium,ECB President Lagarde Speaks,EUR,60.0,1.0
2025-06-27 12:30:00,1.17188,1.1738,1.17172,1.17281,2045,9,0,Medium,Spanish Flash CPI y/y,EUR,0.0,0.0
2025-06-27 12:45:00,1.1728,1.17496,1.17279,1.17464,1965,9,0,Medium,Spanish Flash CPI y/y,EUR,15.0,-1.0
2025-06-27 13:00:00,1.17465,1.1754,1.17316,1.17365,1984,9,0,Medium,Spanish Flash CPI y/y,EUR,30.0,-1.0
2025-06-27 13:15:00,1.17365,1.17394,1.17232,1.17235,1368,9,0,Medium,Spanish Flash CPI y/y,EUR,45.0,-1.0
2025-06-27 13:30:00,1.17237,1.1731,1.17153,1.17276,1690,9,0,Medium,Spanish Flash CPI y/y,EUR,60.0,-1.0
2025-06-27 19:15:00,1.17052,1.17065,1.1702,1.17062,440,9,0,Medium,Revised UoM Consumer Sentiment,USD,-15.0,0.0
2025-06-27 19:30:00,1.17061,1.1707,1.17022,1.1705,498,9,0,Medium,Revised UoM Consumer Sentiment,USD,0.0,1.0
2025-06-27 19:45:00,1.1705,1.17086,1.17022,1.17063,631,9,0,Medium,Revised UoM Consumer Sentiment,USD,15.0,1.0
2025-06-27 20:00:00,1.17061,1.17115,1.17056,1.17111,350,9,0,Medium,Revised UoM Consumer Sentiment,USD,30.0,1.0
2025-06-27 20:15:00,1.17111,1.17159,1.17109,1.17131,315,9,0,Medium,Revised UoM Consumer Sentiment,USD,45.0,1.0
