time,open,high,low,close,tick_volume,spread,real_volume
2025-06-20 16:45:00,145.8,145.861,145.786,145.837,509,9,0
2025-06-20 17:00:00,145.837,145.869,145.82,145.851,512,9,0
2025-06-20 17:15:00,145.851,145.86,145.775,145.807,557,9,0
2025-06-20 17:30:00,145.805,145.897,145.794,145.891,592,9,0
2025-06-20 17:45:00,145.891,145.909,145.857,145.896,460,9,0
2025-06-20 18:00:00,145.898,145.92,145.869,145.88,411,9,0
2025-06-20 18:15:00,145.878,145.913,145.855,145.875,417,9,0
2025-06-20 18:30:00,145.874,145.954,145.872,145.934,372,9,0
2025-06-20 18:45:00,145.934,145.993,145.932,145.968,510,9,0
2025-06-20 19:00:00,145.966,145.998,145.965,145.98,494,9,0
2025-06-20 19:15:00,145.98,145.999,145.965,145.986,405,9,0
2025-06-20 19:30:00,145.986,146.108,145.983,146.09,555,9,0
2025-06-20 19:45:00,146.091,146.195,146.08,146.173,721,9,0
2025-06-20 20:00:00,146.168,146.199,146.11,146.132,347,9,0
2025-06-20 20:15:00,146.132,146.151,146.103,146.126,310,9,0
2025-06-20 20:30:00,146.126,146.139,146.054,146.136,311,9,0
2025-06-20 20:45:00,146.138,146.162,146.057,146.096,422,9,0
2025-06-22 21:00:00,146.595,146.677,146.449,146.606,289,61,0
2025-06-22 21:15:00,146.602,146.643,146.474,146.599,325,38,0
2025-06-22 21:30:00,146.604,146.644,146.458,146.544,330,38,0
2025-06-22 21:45:00,146.573,146.624,146.377,146.523,309,38,0
2025-06-22 22:00:00,146.554,146.556,146.302,146.505,934,9,0
2025-06-22 22:15:00,146.502,146.56,146.327,146.415,881,9,0
2025-06-22 22:30:00,146.412,146.465,146.352,146.392,758,9,0
2025-06-22 22:45:00,146.393,146.399,146.351,146.362,501,9,0
2025-06-22 23:00:00,146.359,146.422,146.281,146.3,835,9,0
2025-06-22 23:15:00,146.298,146.313,146.238,146.241,706,9,0
2025-06-22 23:30:00,146.243,146.273,146.226,146.246,693,9,0
2025-06-22 23:45:00,146.246,146.267,146.203,146.21,717,9,0
2025-06-23 00:00:00,146.208,146.402,146.141,146.4,1461,9,0
2025-06-23 00:15:00,146.397,146.492,146.375,146.442,989,9,0
2025-06-23 00:30:00,146.441,146.519,146.328,146.376,958,9,0
2025-06-23 00:45:00,146.379,146.499,146.361,146.449,1529,9,0
2025-06-23 01:00:00,146.448,146.567,146.426,146.491,1103,9,0
2025-06-23 01:15:00,146.489,146.74,146.489,146.712,960,9,0
2025-06-23 01:30:00,146.713,146.764,146.649,146.716,1154,9,0
2025-06-23 01:45:00,146.716,146.742,146.643,146.667,862,9,0
2025-06-23 02:00:00,146.668,146.695,146.466,146.494,1002,9,0
2025-06-23 02:15:00,146.494,146.496,146.364,146.391,732,9,0
2025-06-23 02:30:00,146.391,146.506,146.381,146.48,699,9,0
2025-06-23 02:45:00,146.483,146.578,146.482,146.561,730,9,0
2025-06-23 03:00:00,146.558,146.612,146.511,146.567,726,9,0
2025-06-23 03:15:00,146.57,146.73,146.57,146.67,911,9,0
2025-06-23 03:30:00,146.667,146.696,146.618,146.686,756,9,0
2025-06-23 03:45:00,146.685,146.721,146.625,146.696,709,9,0
2025-06-23 04:00:00,146.695,146.907,146.693,146.896,928,9,0
2025-06-23 04:15:00,146.897,146.973,146.829,146.952,766,9,0
2025-06-23 04:30:00,146.951,147.004,146.869,146.991,936,9,0
2025-06-23 04:45:00,146.992,147.027,146.955,146.985,746,9,0
2025-06-23 05:00:00,146.984,147.086,146.942,147.074,1007,9,0
2025-06-23 05:15:00,147.073,147.206,147.065,147.126,1077,9,0
2025-06-23 05:30:00,147.127,147.293,147.067,147.198,1566,9,0
2025-06-23 05:45:00,147.197,147.289,147.101,147.102,1261,9,0
2025-06-23 06:00:00,147.105,147.226,147.062,147.209,1350,9,0
2025-06-23 06:15:00,147.208,147.387,147.187,147.367,1256,9,0
2025-06-23 06:30:00,147.369,147.394,147.243,147.246,1212,9,0
2025-06-23 06:45:00,147.246,147.262,147.118,147.155,947,9,0
2025-06-23 07:00:00,147.157,147.177,147.061,147.166,1445,9,0
2025-06-23 07:15:00,147.165,147.184,147.038,147.16,1214,9,0
2025-06-23 07:30:00,147.161,147.267,147.105,147.224,1146,9,0
2025-06-23 07:45:00,147.224,147.352,147.173,147.327,1082,9,0
2025-06-23 08:00:00,147.326,147.501,147.322,147.487,1202,9,0
2025-06-23 08:15:00,147.487,147.519,147.372,147.39,1134,9,0
2025-06-23 08:30:00,147.388,147.517,147.362,147.481,956,9,0
2025-06-23 08:45:00,147.483,147.626,147.453,147.601,1050,9,0
2025-06-23 09:00:00,147.601,147.826,147.601,147.776,1251,9,0
2025-06-23 09:15:00,147.778,147.94,147.764,147.903,1163,9,0
2025-06-23 09:30:00,147.905,147.95,147.723,147.765,1078,9,0
2025-06-23 09:45:00,147.768,147.873,147.722,147.865,925,9,0
2025-06-23 10:00:00,147.865,147.896,147.808,147.854,1022,9,0
2025-06-23 10:15:00,147.854,147.935,147.768,147.918,973,9,0
2025-06-23 10:30:00,147.92,147.984,147.858,147.923,1031,9,0
2025-06-23 10:45:00,147.922,147.983,147.915,147.979,747,9,0
2025-06-23 11:00:00,147.978,148.03,147.833,147.85,993,9,0
2025-06-23 11:15:00,147.848,147.9,147.809,147.854,855,9,0
2025-06-23 11:30:00,147.854,147.863,147.752,147.765,925,9,0
2025-06-23 11:45:00,147.763,147.767,147.505,147.587,1491,9,0
2025-06-23 12:00:00,147.589,147.617,147.504,147.538,1399,9,0
2025-06-23 12:15:00,147.536,147.561,147.474,147.509,1197,9,0
2025-06-23 12:30:00,147.511,147.633,147.436,147.452,1316,9,0
2025-06-23 12:45:00,147.449,147.462,147.348,147.414,1153,9,0
2025-06-23 13:00:00,147.415,147.451,147.308,147.436,1346,9,0
2025-06-23 13:15:00,147.437,147.464,147.363,147.415,1002,9,0
2025-06-23 13:30:00,147.417,147.5,147.302,147.311,1626,9,0
2025-06-23 13:45:00,147.309,147.396,147.138,147.303,1707,9,0
2025-06-23 14:00:00,147.305,147.33,146.796,146.813,3255,9,0
2025-06-23 14:15:00,146.811,146.868,146.622,146.781,2239,9,0
2025-06-23 14:30:00,146.783,146.872,146.632,146.657,2096,9,0
2025-06-23 14:45:00,146.655,146.725,146.487,146.562,2151,9,0
2025-06-23 15:00:00,146.559,146.617,146.419,146.433,1679,9,0
2025-06-23 15:15:00,146.433,146.447,146.333,146.368,1370,9,0
2025-06-23 15:30:00,146.369,146.421,146.328,146.405,1376,9,0
2025-06-23 15:45:00,146.404,146.492,146.379,146.466,1070,9,0
2025-06-23 16:00:00,146.464,146.528,146.409,146.528,1130,9,0
2025-06-23 16:15:00,146.53,146.538,146.326,146.37,1061,9,0
2025-06-23 16:30:00,146.371,146.522,146.348,146.358,1804,9,0
